,prices,address,beds,links,baths,sq_feet
0,"$525,000","172 Ames St, Hackensack, NJ 07601",4, https://www.zillow.com/homedetails/172-Ames-St-Hackensack-NJ-07601/52898763_zpid/ ,3,--
1,"$699,000","130 Decker Rd, Butler, NJ 07405",4, https://www.zillow.com/homedetails/130-Decker-Rd-Butler-NJ-07405/39398080_zpid/ ,4,"3,670"
2,"$450,000","103 Cole Haven Ter, Montague, NJ 07827",3, https://www.zillow.com/homedetails/103-Cole-Haven-Ter-Montague-NJ-07827/39943846_zpid/ ,3,--
3,"$489,000","425B Thompson St, Hackensack, NJ 07601",4, https://www.zillow.com/homedetails/425B-Thompson-St-Hackensack-NJ-07601/2068041720_zpid/ ,4,--
4,"$699,900","32 Halls Mill Rd, Asbury, NJ 08802",4, https://www.zillow.com/homedetails/32-Halls-Mill-Rd-Asbury-NJ-08802/53178094_zpid/ ,4,--
5,"$389,000","330 Cohansey Friesburg Rd, Bridgeton, NJ 08302",5, https://www.zillow.com/homedetails/330-Cohansey-Friesburg-Rd-Bridgeton-NJ-08302/39813362_zpid/ ,3,"4,450"
6,"$238,000","1 Horizon Rd #1410, Fort Lee, NJ 07024",3, https://www.zillow.com/homedetails/1-Horizon-Rd-1410-Fort-Lee-NJ-07024/2079541670_zpid/ ,2,--
7,"$340,000","421 John St, South Amboy, NJ 08879",3, https://www.zillow.com/homedetails/421-John-St-South-Amboy-NJ-08879/55553192_zpid/ ,1,"1,153"
8,"$574,999","211 Indian Rd, Wayne, NJ 07470",4, https://www.zillow.com/homedetails/211-Indian-Rd-Wayne-NJ-07470/39799395_zpid/ ,3,--
0,"$229,000","20 Madelyn Ave, West Milford, NJ 07480",2, https://www.zillow.com/homedetails/20-Madelyn-Ave-West-Milford-NJ-07480/39804629_zpid/ ,1,--
1,"$200,000","28 Danbury Dr, Sicklerville, NJ 08081",2, https://www.zillow.com/homedetails/28-Danbury-Dr-Sicklerville-NJ-08081/38262101_zpid/ ,1,960
2,"$325,000","338 N 10th Ave, Manville, NJ 08835",4, https://www.zillow.com/homedetails/338-N-10th-Ave-Manville-NJ-08835/2069670693_zpid/ ,3,--
3,"$220,000","44 Coppermine Rd, Princeton, NJ 08540",3, https://www.zillow.com/homedetails/44-Coppermine-Rd-Princeton-NJ-08540/39867628_zpid/ ,2,--
4,"$695,000","11 Haldiman Ln, Blairstown, NJ 07825",4, https://www.zillow.com/homedetails/11-Haldiman-Ln-Blairstown-NJ-07825/40097952_zpid/ ,3,--
5,"$190,000","2751 Route 37, Manchester Township, NJ 08759",3, https://www.zillow.com/homedetails/2751-Route-37-Manchester-Township-NJ-08759/2067031616_zpid/ ,1,"1,652"
6,"$220,000","3460 Bethel Ave, Merchantville, NJ 08109",3, https://www.zillow.com/homedetails/3460-Bethel-Ave-Merchantville-NJ-08109/38293303_zpid/ ,1,"1,270"
7,"$315,000","8 Plaskon Ter, Ogdensburg, NJ 07439",4, https://www.zillow.com/homedetails/8-Plaskon-Ter-Ogdensburg-NJ-07439/39947642_zpid/ ,2,--
8,"$220,000","89 Mase Rd, Lake Hopatcong, NJ 07849",3, https://www.zillow.com/homedetails/89-Mase-Rd-Lake-Hopatcong-NJ-07849/39426706_zpid/ ,1,--
